id,manufacturer,model,kv,max_current_a,voltage_max_v,voltage_min_v,max_power_w,mass_g,price_usd,url,Ref.,Kv_SI,Pole (number),Io (A),R_ohm,No s,Voltage,Kt_Nm_A,Tnom_Nm,Rend nom,Icc,I opt,Eta opt,Cf_Nm,Tmax_Nm,power_margin,current_margin,mass_score,price_score,margin_score,score,v_nom_used,thrust_per_motor_gf,hover_power_w_est,peak_power_w_est,peak_current_a_est
mtr_11,SCORPION,?Scorpion SII-5525-195KV,210,90.0,44.4,7.4,3996.0,708.0,50.0,,91.0,21.99114858,14.0,1.11,0.026,12.0,44.4,0.045472841,4.042,93.5613964,1707.692308,43.537782,94.96598049,0.050474853,4.09255568,5.244750015316507,2.622375007658254,0.27597672485453034,0.0,3.9335625114873807,-1.069678063504402,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_091,SCORPION,?Scorpion SII-5525-195KV,210,90.0,44.4,7.4,3996.0,708.0,50.0,,,,,,,,,,,,,,,,,5.244750015316507,2.622375007658254,0.27597672485453034,0.0,3.9335625114873807,-1.069678063504402,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_083,SCORPION,?Scorpion SII-4025-440KV,440,85.0,44.4,7.4,3774.0,353.0,50.0,,,,,,,,,,,,,,,,,4.95337501446559,2.4766875072327954,0.128428927680798,0.0,3.7150312608491927,-1.0631378071824384,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_13,SCORPION,?Scorpion SII-5535-160KV,160,90.0,44.4,7.4,3996.0,906.0,50.0,,93.0,16.75516082,14.0,1.11,0.027,12.0,44.4,0.059683104,5.305,93.36119369,1644.444444,42.72391992,94.87134758,0.066248245,5.371479329,5.244750015316507,2.622375007658254,0.35827098919368244,0.0,3.9335625114873807,-1.0367603577687412,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_093,SCORPION,?Scorpion SII-5535-160KV,160,90.0,44.4,7.4,3996.0,906.0,50.0,,,,,,,,,,,,,,,,,5.244750015316507,2.622375007658254,0.35827098919368244,0.0,3.9335625114873807,-1.0367603577687412,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_071,SCORPION,?Scorpion SII-3026-1190KV (V2),1190,80.0,44.4,7.4,3552.0,205.0,50.0,,,,,,,,,,,,,,,,,4.662000013614673,2.331000006807337,0.06691604322527016,0.0,3.4965000102110046,-1.0221835857731933,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_088,SCORPION,?Scorpion SII-4035-450KV,450,80.0,44.4,7.4,3552.0,435.0,50.0,,,,,,,,,,,,,,,,,4.662000013614673,2.331000006807337,0.1625103906899418,0.0,3.4965000102110046,-0.9839458467873248,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_183,maxon EC ,"EC 40 ?40 mm, brushless, 170 Watt",412,115.0,24.0,7.4,2760.0,580.0,50.0,,,,,,,,,,,,,,,,,3.622500010578969,3.3508125097855466,0.2227763923524522,0.0,3.486656260182258,-0.9568863211136964,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_092,SCORPION,?Scorpion SII-5525-210KV,195,80.0,44.4,7.4,3552.0,708.0,50.0,,,,,,,,,,,,,,,,,4.662000013614673,2.331000006807337,0.27597672485453034,0.0,3.4965000102110046,-0.9385593131214893,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_12,SCORPION,?Scorpion SII-5525-210KV,195,80.0,44.4,7.4,3552.0,708.0,50.0,,92.0,20.42035225,14.0,0.88,0.034,12.0,44.4,0.048970752,3.875,92.84126126,1305.882353,33.89950546,94.87557124,0.043094262,3.917660138,4.662000013614673,2.331000006807337,0.27597672485453034,0.0,3.4965000102110046,-0.9385593131214893,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
