model,Product Description,Product Code (SKU),Categories,Price ($),Status,Hub Diameter,Hub Thickness,Shaft Diameter,Weight,diameter_in,pitch_in,Diameter (METERS),Pitch (-),Color,UPC Code,Product Weight (NOT for Shipping Calculations) (LBS) ,mass_g,manufacturer,price_usd,url,id,Weight (KG),Ct_static,Cp_static,BETA,J,V,Pe,ct,cp,PWR_Hp,Torque_In-Lbf,Thrust_Lbf,Ct*,Cp*,Dominated,J_adv-ratio,V_mph,Efficiency,diam_diff,mass_score,score
15x13W-3,"3 Blade
120 Pattern",LP3150130W,"Sport, Pattern, 3 Bladed (for IC Engines)",24.95,Discontinued,1.50 in.,0.66 in.,5/16 in.,4.13 oz.,15.0,13.0,0.381,0.866666667,Grey,686661000000.0,0.2579,117.0,APC,10.0,,prop_617,,,,,,,,,,,,,,,,,,,0.5662432913351694,0.9661436829066887,0.5662988672333447
13.5x9,60 Pattern,LP13590,"Sport, Pattern",9.05, ,1.00 in.,0.52 in.,5/16 in.,1.73 oz.,13.5,9.0,0.3429,0.666666667,Grey,686661000000.0,0.1081,49.0,APC,10.0,,prop_539,,,,,,,,,,,,,,,,,,,0.9337567086648306,0.4046242774566474,0.5772733426466596
13.5x10,60 Pattern,LP13510,"Sport, Pattern",9.05, ,1.00 in.,0.52 in.,5/16 in.,1.80 oz.,13.5,10.0,0.3429,0.740740741,Grey,686661000000.0,0.1125,51.0,APC,10.0,,prop_540,,,,,,,,,,,,,,,,,,,0.9337567086648306,0.421139554087531,0.5822279256359247
13.5x11.5N,60 Pattern Narrow,LP135115N,"Sport, Pattern",9.05,Discontinued,1.00 in.,0.52 in.,5/16 in.,1.83 oz.,13.5,11.5,0.3429,0.851851852,Grey,686661000000.0,0.1144,51.9,APC,10.0,,prop_541,,,,,,,,,,,,,,,,,,,0.9337567086648306,0.4285714285714286,0.5844574879810941
13.5x13.3,120 Pattern,LP135133,"Sport, Pattern",9.05,Discontinued,1.13 in.,0.60 in.,5/16 in.,2.29 oz.,13.5,13.3,0.3429,0.985185185,Grey,686661000000.0,0.1431,64.9,APC,10.0,,prop_543,,,,,,,,,,,,,,,,,,,0.9337567086648306,0.5359207266721718,0.6166622774113171
13.5x13.5,120 Pattern / Warbird,LP135135,"Sport, Pattern, Warbird Racing",9.05, ,1.20 in.,0.61 in.,5/16 in.,2.36 oz.,13.5,13.5,0.3429,1.0,Grey,686661000000.0,0.1475,66.9,APC,10.0,,prop_544,,,,,,,,,,,,,,,,,,,0.9337567086648306,0.5524360033030554,0.6216168604005821
13.5x14,120 Pattern / Warbird,LP13514,"Sport, Pattern, Warbird Racing",9.05, ,1.20 in.,0.61 in.,5/16 in.,2.36 oz.,13.5,14.0,0.3429,1.037037037,Grey,686661000000.0,0.1475,66.9,APC,10.0,,prop_545,,,,,,,,,,,,,,,,,,,0.9337567086648306,0.5524360033030554,0.6216168604005821
13.5x12.5,120 Pattern,LP135125,"Sport, Pattern",9.05,Discontinued,1.13 in.,0.63 in.,5/16 in.,2.43 oz.,13.5,12.5,0.3429,0.925925926,Grey,686661000000.0,0.1519,68.9,APC,10.0,,prop_542,,,,,,,,,,,,,,,,,,,0.9337567086648306,0.568951279933939,0.6265714433898472
13.5x14W,120 Pattern Wide Blade,LP13514W,"Sport, Pattern",9.05,Discontinued,1.13 in.,0.64 in.,5/16 in.,2.93 oz.,13.5,14.0,0.3429,1.037037037,Grey,686661000000.0,0.1831,83.1,APC,10.0,,prop_546,,,,,,,,,,,,,,,,,,,0.9337567086648306,0.6862097440132122,0.6617489826136291
13x13-4,"4 Blade
120 Pattern",LP413013,"Sport, Pattern, 4 Bladed (for IC Engines)",19.95,Discontinued,,,5/16 in.,,13.0,13.0,0.3302,1.0,Grey,686661000000.0,,0.0,APC,10.0,,prop_535,,,,,,,,,,,,,,,,,,,1.4337567086648306,0.0,0.7
15.5x13N,120 Pattern Narrow,LP15513N,"Sport, Pattern",12.49,Discontinued,1.13 in.,0.67 in.,5/16 in.,2.57 oz.,15.5,13.0,0.3937,0.838709677,Grey,686661000000.0,0.1606,72.8,APC,10.0,,prop_626,,,,,,,,,,,,,,,,,,,1.0662432913351694,0.6011560693641619,0.7009165237609211
APC MR,,,,,,,,,,13.0,4.499999998,,,,,,15.0,APC MR,10.0,,prop_2039,,,,0.346153846,,,,0.0,0.0051,0.077,0.603,0.003,-0.001389644,0.005136484,,0.58,57.0,0.0055,1.4337567086648306,0.12386457473162676,0.737159372419488
APC MR,,,,,,,,,,13.0,4.499999998,,,,,,15.0,APC MR,10.0,,prop_2026,,,,0.346153846,,,,0.0507,0.0244,0.366,2.886,2.907,0.052077428,0.026349584,,0.32,31.4,0.6653,1.4337567086648306,0.12386457473162676,0.737159372419488
APC MR,,,,,,,,,,13.0,4.499999998,,,,,,15.0,APC MR,10.0,,prop_2025,,,,0.346153846,,,,0.054,0.0253,0.379,2.988,3.098,0.055377491,0.027289761,,0.3,29.5,0.6422,1.4337567086648306,0.12386457473162676,0.737159372419488
APC MR,,,,,,,,,,13.0,4.499999998,,,,,,15.0,APC MR,10.0,,prop_2024,,,,0.346153846,,,,0.0573,0.0261,0.391,3.079,3.285,0.058556391,0.028131137,,0.28,27.5,0.6166,1.4337567086648306,0.12386457473162676,0.737159372419488
APC MR,,,,,,,,,,13.0,4.499999998,,,,,,15.0,APC MR,10.0,,prop_2023,,,,0.346153846,,,,0.0605,0.0268,0.401,3.161,3.467,0.06161312,0.028873714,,0.26,25.5,0.5886,1.4337567086648306,0.12386457473162676,0.737159372419488
APC MR,,,,,,,,,,13.0,4.499999998,,,,,,15.0,APC MR,10.0,,prop_2022,,,,0.346153846,,,,0.0635,0.0274,0.411,3.235,3.643,0.064546666,0.029517491,,0.24,23.6,0.558,1.4337567086648306,0.12386457473162676,0.737159372419488
APC MR,,,,,,,,,,13.0,4.499999998,,,,,,15.0,APC MR,10.0,,prop_2021,,,,0.346153846,,,,0.0665,0.0279,0.419,3.299,3.814,0.067356021,0.030062468,,0.22,21.6,0.525,1.4337567086648306,0.12386457473162676,0.737159372419488
APC MR,,,,,,,,,,13.0,4.499999998,,,,,,15.0,APC MR,10.0,,prop_2020,,,,0.346153846,,,,0.0694,0.0284,0.426,3.356,3.981,0.070040173,0.030508645,,0.2,19.7,0.4897,1.4337567086648306,0.12386457473162676,0.737159372419488
APC MR,,,,,,,,,,13.0,4.499999998,,,,,,15.0,APC MR,10.0,,prop_2019,,,,0.346153846,,,,0.0723,0.0288,0.433,3.408,4.144,0.072598114,0.030856022,,0.18,17.7,0.4518,1.4337567086648306,0.12386457473162676,0.737159372419488
APC MR,,,,,,,,,,13.0,4.499999998,,,,,,15.0,APC MR,10.0,,prop_2018,,,,0.346153846,,,,0.075,0.0292,0.439,3.455,4.299,0.075028832,0.031104599,,0.16,15.7,0.411,1.4337567086648306,0.12386457473162676,0.737159372419488
APC MR,,,,,,,,,,13.0,4.499999998,,,,,,15.0,APC MR,10.0,,prop_2029,,,,0.346153846,,,,0.0401,0.0213,0.319,2.512,2.3,0.041460364,0.022936253,,0.38,37.3,0.7183,1.4337567086648306,0.12386457473162676,0.737159372419488
APC MR,,,,,,,,,,13.0,4.499999998,,,,,,15.0,APC MR,10.0,,prop_2030,,,,0.346153846,,,,0.0364,0.02,0.3,2.364,2.088,0.037685751,0.021600876,,0.4,39.3,0.7293,1.4337567086648306,0.12386457473162676,0.737159372419488
APC MR,,,,,,,,,,13.0,4.499999998,,,,,,15.0,APC MR,10.0,,prop_2031,,,,0.346153846,,,,0.0326,0.0186,0.28,2.204,1.872,0.033795026,0.020166699,,0.42,41.3,0.7365,1.4337567086648306,0.12386457473162676,0.737159372419488
APC MR,,,,,,,,,,13.0,4.499999998,,,,,,15.0,APC MR,10.0,,prop_2032,,,,0.346153846,,,,0.0288,0.0172,0.258,2.031,1.652,0.029789198,0.018633722,,0.44,43.2,0.7384,1.4337567086648306,0.12386457473162676,0.737159372419488
APC MR,,,,,,,,,,13.0,4.499999998,,,,,,15.0,APC MR,10.0,,prop_2033,,,,0.346153846,,,,0.0249,0.0156,0.234,1.846,1.426,0.025669276,0.017001945,,0.46,45.2,0.7333,1.4337567086648306,0.12386457473162676,0.737159372419488
APC MR,,,,,,,,,,13.0,5.499999999,,,,,,15.0,APC MR,10.0,,prop_1379,,,,0.423076923,,,,0.0,0.0053,0.08,0.627,0.0,9.56e-05,0.007288137,,0.66,65.0,0.0009,1.4337567086648306,0.12386457473162676,0.737159372419488
APC MR,,,,,,,,,,13.0,4.499999998,,,,,,15.0,APC MR,10.0,,prop_2034,,,,0.346153846,,,,0.0209,0.014,0.21,1.654,1.197,0.021436272,0.015271368,,0.48,47.2,0.7175,1.4337567086648306,0.12386457473162676,0.737159372419488
